Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,
S2,2020,5,5,23,2,9,45.42421,-71.910423,155.7,15,50.4,5.5,60,614.4,2021,4.136203,1063,627,447,2108,OK,0.272,0.448,,
S3,2020,5,5,23,2,12,45.424026,-71.910316,156,20,50.4,5.5,60,614.4,1631,0.247911,82,41,25,135,UE,0.188,0.370,,
S4,2020,5,5,23,2,14,45.423767,-71.910179,156.2,20,50.4,5.4,60,614.4,2037,1.2787,386,224,177,669,OK,0.282,0.445,,
S5,2020,5,5,23,2,17,45.423595,-71.91008,156.39999,20,50.4,5.5,60,614.4,1888,1.056885,609,269,199,993,OK,0.170,0.330,,
S6,2020,5,5,23,2,19,45.423428,-71.909973,156.39999,20,50.4,5.5,60,614.4,1624,0.06524,49,25,25,72,UE,0.216,0.327,,
S2,2020,5,5,23,2,24,45.422993,-71.909737,156.10001,20,50.5,5.5,60,614.4,1627,0.587158,280,136,107,471,OK,0.206,0.367,,
S3,2020,5,5,23,2,27,45.422722,-71.909584,155.89999,20,50.5,5.5,60,614.4,2674,0.221815,69,43,38,113,UE,0.327,0.467,,
S4,2020,5,5,23,2,29,45.422539,-71.909477,155.7,20,50.5,5.5,60,614.4,1863,16.871012,8374,3601,2284,14010,OK,0.155,0.320,,
S5,2020,5,5,23,2,31,45.422268,-71.909332,155.10001,15,50.5,5.5,60,614.4,2908,1.539659,304,213,163,618,OK,0.358,0.518,,
S2,2020,5,5,23,2,39,45.421616,-71.908974,153.10001,20,50.5,5.5,60,614.4,1794,4.697266,1635,891,703,2942,OK,0.255,0.418,,
S3,2020,5,5,23,2,41,45.421425,-71.908859,153,20,50.5,5.5,60,614.4,4191,0.143528,36,26,24,60,UE,0.405,0.526,,
S4,2020,5,5,23,2,44,45.421135,-71.908691,152.89999,15,50.5,5.5,60,614.4,2744,1.082981,331,207,185,573,OK,0.330,0.467,,
